-0.0221412,-0.00924323,0.0140689
0.0667004,-0.0277297,0.0467929
0.166501,-0.0184865,0.0364827
0.155592,-0.0369729,0.0955169
0.111309,-0.0739458,0.123655
0.089171,-0.110919,0.138724
0.0671106,-0.120162,0.178792
0.0557572,-0.147892,0.0948272
0.188993,-0.194108,0.135413
0.488484,-0.249567,0.133482
0.854533,-0.268054,0.132345
1.25389,-0.240324,0.140104
1.6086,-0.268054,0.0610009
1.91908,-0.332756,0.0250359
2.28527,-0.360486,0.0698981
2.67338,-0.369729,0.0276918
3.03924,-0.351243,-0.0334455
3.48274,-0.268054,-0.097824
3.85996,-0.277297,-0.071996
4.22619,-0.277297,-0.0161338
4.53679,-0.277297,-0.0120989
4.84714,-0.249567,-0.0880636
5.22431,-0.184865,-0.0802355
5.60124,-0.157135,-0.148407
5.96705,-0.101676,-0.228544
6.33283,-0.0277297,-0.314681
6.69865,0.0277297,-0.390818
7.07583,0.0924324,-0.37899
7.41999,0.120162,-0.284059
7.79692,0.194108,-0.35223
8.15194,0.268054,-0.334333
8.50673,0.305027,-0.387435
8.82851,0.268054,-0.355435
9.19463,0.194108,-0.334572
9.60475,0.184865,-0.431847
9.91511,0.147892,-0.505811
10.2258,0.166378,-0.471776
10.4917,0.166378,-0.565603
10.7912,0.212595,-0.576533
11.1351,0.305027,-0.580601
11.4678,0.388216,-0.575635
11.8118,0.462162,-0.554703
12.1666,0.573081,-0.606805
12.5108,0.684,-0.505874
12.8874,0.841135,-0.666044
13.2314,0.97054,-0.634113
13.5974,1.13692,-0.64525
13.9855,1.32178,-0.694455
14.3737,1.51589,-0.688661
14.7507,1.71,-0.756832
15.1608,1.89487,-0.836106
15.4826,2.052,-0.804105
15.8818,2.21838,-0.860345
16.2257,2.3293,-0.831413
16.603,2.44946,-0.803584
16.9693,2.54189,-0.701721
17.3023,2.6066,-0.636755
17.6018,2.70827,-0.642685
17.9237,2.83768,-0.578684
18.2343,2.93935,-0.561649
18.5671,3.04103,-0.553682
